Date,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,WHH,WHD,WHA,B365H,B365D,B365A,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,Season,Year,Month,DayOfWeek,TotalGoals,GoalsOver2_5,BTTS,Home_2plus,Away_2plus,HomeTeam_mean_FTHG,AwayTeam_mean_FTAG,HomeTeam,AwayTeam,HomeTeam_Arsenal,HomeTeam_Aston Villa,HomeTeam_Bournemouth,HomeTeam_Brentford,HomeTeam_Brighton,HomeTeam_Chelsea,HomeTeam_Crystal Palace,HomeTeam_Everton,HomeTeam_Fulham,HomeTeam_Ipswich,HomeTeam_Leicester,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Newcastle,HomeTeam_Nott'm Forest,HomeTeam_Southampton,HomeTeam_Tottenham,HomeTeam_West Ham,HomeTeam_Wolves,AwayTeam_Arsenal,AwayTeam_Aston Villa,AwayTeam_Bournemouth,AwayTeam_Brentford,AwayTeam_Brighton,AwayTeam_Chelsea,AwayTeam_Crystal Palace,AwayTeam_Everton,AwayTeam_Fulham,AwayTeam_Ipswich,AwayTeam_Leicester,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Newcastle,AwayTeam_Nott'm Forest,AwayTeam_Southampton,AwayTeam_Tottenham,AwayTeam_West Ham,AwayTeam_Wolves,HomeRecentGF,HomeRecentGA,HomeRecentPts,AwayRecentGF,AwayRecentGA,AwayRecentPts,h2h_home_wins_last5,home_league_position,away_league_position,position_diff,HomePts,AwayPts,HomeGoalDiff,AwayGoalDiff,HomeRecentGoalDiff,AwayRecentGoalDiff,RecentGoalDiff,HomeRecentShotsOnTarget,AwayRecentShotsOnTarget,RecentShotsOnTargetDiff,PosDiff,B365>2.5_missing,B365<2.5_missing,B365>2.5_implied_prob,B365<2.5_implied_prob,OddsMargin,OU_OddsMargin,OverUnderRatio,Weekend,EarlySeason,RefereeAggression
2024-09-14,1,1,D,1,0,H,T Robinson,21,11,5,3,3,2,15,18,2,3,0,0,2.5,3.4,2.88,2.38,3.25,3.0,2.42,3.48,2.92,2.5,3.6,3.03,1.73,2.1,1.72,2.18,1.75,2.22,1.72,2.16,2024-25,2024,9,5,2,0,1,0,0,2.0,2.0,Fulham,West Ham,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0,1.0,6.0,1.5,1.0,5.0,0,14,19,-5,1,1,0,0,0.0,-1.0,0.0,22.0,18.0,3.0,-5,0,0,0.5780346820809249,0.47619047619047616,0.7933333333333333,0.8238095238095238,0.8238095238095238,1,0,0.0
2024-09-14,0,0,D,0,0,D,S Barrott,21,6,6,1,9,2,14,16,4,3,0,0,1.4,5.0,8.0,1.38,5.0,7.5,1.38,5.16,7.89,1.41,5.4,8.5,1.53,2.5,1.56,2.49,1.59,2.52,1.56,2.46,2024-25,2024,9,5,0,0,0,0,0,2.0,1.0,Brighton,Ipswich,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2.5,0.5,6.0,0.5,3.0,5.0,0,11,12,-1,1,1,0,0,0.0,-1.0,0.0,22.0,18.0,3.0,-1,0,0,0.6535947712418301,0.4,0.184,0.612,0.612,1,0,0.0
2024-09-14,2,2,D,0,1,A,T Harrington,20,9,4,4,5,2,11,15,0,3,0,0,1.65,4.0,5.5,1.62,4.0,5.5,1.63,4.14,5.38,1.66,4.3,5.6,1.73,2.1,1.76,2.11,1.8,2.17,1.76,2.1,2024-25,2024,9,5,4,1,1,1,1,0.0,1.0,Crystal Palace,Leicester,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.5,2.0,6.0,1.0,1.5,5.0,0,14,15,-1,1,1,0,0,0.0,-1.0,0.0,22.0,18.0,3.0,-1,0,0,0.5780346820809249,0.47619047619047616,0.29454545454545455,0.8238095238095238,0.8238095238095238,1,0,0.0
2024-09-14,0,3,A,0,2,A,S Attwell,6,20,4,10,0,7,11,14,1,4,1,0,4.75,3.8,1.75,4.5,4.0,1.7,4.56,4.04,1.74,4.83,4.2,1.79,1.62,2.3,1.6,2.41,1.67,2.45,1.61,2.36,2024-25,2024,9,5,3,1,0,0,1,0.0,1.0,Southampton,Man United,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,1.0,6.0,1.0,1.0,5.0,0,18,20,-2,0,3,-3,3,0.0,-1.0,0.0,22.0,18.0,3.0,-2,0,0,0.6172839506172839,0.4347826086956522,2.6470588235294117,0.7043478260869567,0.7043478260869567,1,0,1.5
2024-09-14,0,1,A,0,0,D,M Oliver,14,5,5,3,7,2,15,6,4,4,0,0,1.22,6.5,13.0,1.22,6.5,12.0,1.22,7.03,12.4,1.25,7.7,13.0,1.44,2.75,1.41,2.95,1.46,3.1,1.41,2.91,2024-25,2024,9,5,1,0,0,0,0,2.0,1.0,Liverpool,Nott'm Forest,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2.0,0.0,6.0,1.0,0.5,5.0,0,3,12,-9,0,3,-1,1,0.0,-1.0,0.0,22.0,18.0,3.0,-9,0,0,0.6944444444444444,0.36363636363636365,0.10166666666666667,0.5236363636363636,0.5236363636363636,1,0,2.5
2024-09-14,2,1,H,2,1,H,D Bond,18,8,7,5,12,3,9,3,3,1,0,0,1.18,7.5,15.0,1.18,8.0,12.0,1.17,8.2,14.79,1.21,9.2,17.0,1.36,3.2,1.36,3.17,1.4,3.45,1.35,3.22,2024-25,2024,9,5,3,1,1,1,0,4.0,0.0,Man City,Brentford,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,0.5,6.0,1.0,1.5,5.0,0,4,3,1,3,0,1,-1,0.0,-1.0,0.0,22.0,18.0,3.0,1,0,0,0.7352941176470588,0.3125,0.09833333333333333,0.425,0.425,1,0,0.0
2024-09-14,0,1,A,0,0,D,A Taylor,19,10,7,3,6,3,16,9,6,8,0,0,3.4,3.9,2.05,3.4,3.8,2.0,3.33,3.96,2.05,3.45,4.12,2.09,1.44,2.75,1.46,2.81,1.48,2.86,1.45,2.76,2024-25,2024,9,5,1,0,0,0,0,1.0,6.0,Bournemouth,Chelsea,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,6.0,3.0,2.0,5.0,0,4,13,-9,0,3,-1,1,0.0,-1.0,0.0,22.0,18.0,3.0,-9,0,0,0.6944444444444444,0.36363636363636365,1.7,0.5236363636363636,0.5236363636363636,1,0,2.5
2024-09-14,3,2,H,1,2,A,C Pawson,17,6,8,2,6,2,10,12,1,4,0,0,1.5,4.4,6.5,1.5,4.2,6.5,1.51,4.48,6.34,1.55,4.65,6.7,1.67,2.2,1.69,2.23,1.72,2.28,1.67,2.23,2024-25,2024,9,5,5,1,1,1,1,0.0,0.0,Aston Villa,Everton,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.5,6.0,0.0,3.5,5.0,0,6,15,-9,3,0,1,-1,0.0,-1.0,0.0,22.0,18.0,3.0,-9,0,0,0.5988023952095809,0.45454545454545453,0.23076923076923078,0.759090909090909,0.759090909090909,1,0,0.0
2024-09-15,0,1,A,0,0,D,J Gillett,15,7,5,4,7,6,13,10,5,3,0,0,3.0,3.6,2.3,3.0,3.5,2.3,2.99,3.59,2.33,3.13,3.75,2.4,1.57,2.38,1.59,2.44,1.66,2.5,1.58,2.41,2024-25,2024,9,6,1,0,0,0,0,4.0,2.0,Tottenham,Arsenal,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.5,0.5,6.0,2.0,0.0,5.0,0,18,14,4,0,3,-1,1,0.0,-1.0,0.0,22.0,18.0,3.0,4,0,0,0.6369426751592356,0.42016806722689076,1.3043478260869565,0.6596638655462186,0.6596638655462186,1,0,3.0
2024-09-15,1,2,A,1,0,H,C Kavanagh,12,14,5,6,4,7,17,6,3,3,0,0,3.3,3.7,2.1,3.4,3.5,2.1,3.36,3.69,2.11,3.48,3.8,2.18,1.57,2.38,1.57,2.49,1.59,2.55,1.56,2.47,2024-25,2024,9,6,3,1,1,0,1,2.0,1.0,Wolves,Newcastle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0,4.0,6.0,1.0,0.5,5.0,0,15,8,7,0,3,-1,1,0.0,-1.0,0.0,22.0,18.0,3.0,7,0,0,0.6369426751592356,0.42016806722689076,1.6190476190476188,0.6596638655462186,0.6596638655462186,1,0,3.0
