FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,IWH,IWD,IWA,WHH,WHD,WHA,B365H,B365D,B365A,B365>2.5,B365<2.5,Date,Season,Year,Month,DayOfWeek,TotalGoals,GoalsOver2_5,HomeTeam_mean_FTHG,AwayTeam_mean_FTAG,HomeTeam,AwayTeam,HomeTeam_Arsenal,HomeTeam_Aston Villa,HomeTeam_Birmingham,HomeTeam_Blackburn,HomeTeam_Blackpool,HomeTeam_Bolton,HomeTeam_Bournemouth,HomeTeam_Brentford,HomeTeam_Brighton,HomeTeam_Burnley,HomeTeam_Cardiff,HomeTeam_Charlton,HomeTeam_Chelsea,HomeTeam_Crystal Palace,HomeTeam_Derby,HomeTeam_Everton,HomeTeam_Fulham,HomeTeam_Huddersfield,HomeTeam_Hull,HomeTeam_Leeds,HomeTeam_Leicester,HomeTeam_Liverpool,HomeTeam_Luton,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Middlesbrough,HomeTeam_Newcastle,HomeTeam_Norwich,HomeTeam_Nott'm Forest,HomeTeam_Portsmouth,HomeTeam_QPR,HomeTeam_Reading,HomeTeam_Sheffield United,HomeTeam_Southampton,HomeTeam_Stoke,HomeTeam_Sunderland,HomeTeam_Swansea,HomeTeam_Tottenham,HomeTeam_Watford,HomeTeam_West Brom,HomeTeam_West Ham,HomeTeam_Wigan,HomeTeam_Wolves,AwayTeam_Arsenal,AwayTeam_Aston Villa,AwayTeam_Birmingham,AwayTeam_Blackburn,AwayTeam_Blackpool,AwayTeam_Bolton,AwayTeam_Bournemouth,AwayTeam_Brentford,AwayTeam_Brighton,AwayTeam_Burnley,AwayTeam_Cardiff,AwayTeam_Charlton,AwayTeam_Chelsea,AwayTeam_Crystal Palace,AwayTeam_Derby,AwayTeam_Everton,AwayTeam_Fulham,AwayTeam_Huddersfield,AwayTeam_Hull,AwayTeam_Leeds,AwayTeam_Leicester,AwayTeam_Liverpool,AwayTeam_Luton,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Middlesbrough,AwayTeam_Newcastle,AwayTeam_Norwich,AwayTeam_Nott'm Forest,AwayTeam_Portsmouth,AwayTeam_QPR,AwayTeam_Reading,AwayTeam_Sheffield United,AwayTeam_Southampton,AwayTeam_Stoke,AwayTeam_Sunderland,AwayTeam_Swansea,AwayTeam_Tottenham,AwayTeam_Watford,AwayTeam_West Brom,AwayTeam_West Ham,AwayTeam_Wigan,AwayTeam_Wolves,has_ou_odds
2.0,0.0,H,2.0,0.0,H,P Walton,18.0,6.0,13.0,3.0,6.0,4.0,5.0,9.0,0.0,1.0,0.0,0.0,1.55,3.4,5.8,1.44,3.75,6.0,1.5,3.75,7.0,1.8673941243800074,2.0139336131247614,2006-08-22,2006-07,2006,8,1,2.0,0,1.8421052631578947,0.5373134328358209,Tottenham,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,D,0.0,0.0,D,M Atkinson,11.0,8.0,4.0,4.0,5.0,1.0,12.0,12.0,0.0,0.0,0.0,0.0,2.5,3.2,2.5,2.5,3.1,2.5,2.87,3.2,2.4,1.8673941243800074,2.0139336131247614,2006-08-22,2006-07,2006,8,1,2.0,0,1.1729323308270676,1.0869565217391304,Watford,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.0,1.0,H,1.0,1.0,D,L Mason,11.0,5.0,6.0,3.0,2.0,7.0,9.0,6.0,2.0,1.0,0.0,1.0,1.9,3.2,3.6,1.83,3.2,3.75,1.9,3.25,4.0,1.8673941243800074,2.0139336131247614,2006-08-23,2006-07,2006,8,2,3.0,1,1.3343108504398826,1.1153846153846154,Aston Villa,Reading,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,D,0.0,0.0,D,U Rennie,10.0,10.0,5.0,4.0,5.0,3.0,22.0,20.0,4.0,3.0,0.0,0.0,2.2,3.1,3.0,2.1,3.2,3.0,2.3,3.1,3.1,1.8673941243800074,2.0139336131247614,2006-08-23,2006-07,2006,8,2,2.0,0,1.3555555555555556,1.080604534005038,Blackburn,Everton,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,3.0,A,0.0,0.0,D,C Foy,8.0,21.0,2.0,11.0,4.0,11.0,14.0,11.0,1.0,1.0,0.0,0.0,4.8,3.6,1.6,5.5,3.3,1.57,7.5,3.6,1.5,1.8673941243800074,2.0139336131247614,2006-08-23,2006-07,2006,8,2,3.0,1,1.3370786516853932,1.565326633165829,Charlton,Man United,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,D,0.0,0.0,D,A Wiley,11.0,4.0,4.0,1.0,1.0,6.0,9.0,16.0,0.0,2.0,0.0,0.0,2.4,3.1,2.7,2.3,3.1,2.75,2.4,3.2,2.87,1.8673941243800074,2.0139336131247614,2006-08-23,2006-07,2006,8,2,2.0,0,1.3661971830985915,1.0276243093922652,Fulham,Bolton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,D,0.0,0.0,D,D Gallagher,6.0,3.0,3.0,1.0,8.0,0.0,15.0,13.0,2.0,1.0,0.0,0.0,2.2,3.1,3.0,2.0,3.1,3.3,2.2,3.1,3.1,1.8673941243800074,2.0139336131247614,2006-08-23,2006-07,2006,8,2,0.0,0,2.2455696202531645,0.7983870967741935,Man City,Portsmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,H,0.0,1.0,A,H Webb,9.0,8.0,2.0,5.0,3.0,3.0,15.0,7.0,2.0,2.0,0.0,0.0,6.3,3.5,1.5,6.0,3.75,1.44,8.5,3.75,1.44,1.8673941243800074,2.0139336131247614,2006-08-23,2006-07,2006,8,2,3.0,1,1.3541666666666667,1.605527638190955,Middlesbrough,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0.0,H,0.0,0.0,D,M Dean,9.0,7.0,5.0,2.0,6.0,5.0,11.0,17.0,1.0,4.0,1.0,1.0,2.4,3.1,2.7,2.37,3.1,2.62,2.5,3.1,2.8,1.8673941243800074,2.0139336131247614,2006-08-26,2006-07,2006,8,5,2.0,0,1.3370786516853932,1.0276243093922652,Charlton,Bolton,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,H,1.0,0.0,H,G Poll,10.0,9.0,5.0,1.0,9.0,5.0,17.0,17.0,3.0,3.0,0.0,0.0,2.0,3.2,3.3,1.9,3.1,3.6,1.9,3.25,4.0,1.8673941243800074,2.0139336131247614,2006-08-26,2006-07,2006,8,5,1.0,0,1.3661971830985915,0.5373134328358209,Fulham,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
