FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,IWH,IWD,IWA,WHH,WHD,WHA,B365H,B365D,B365A,B365>2.5,B365<2.5,Date,Season,Year,Month,DayOfWeek,TotalGoals,GoalsOver2_5,HomeTeam_mean_FTHG,AwayTeam_mean_FTAG,HomeTeam,AwayTeam,HomeTeam_Arsenal,HomeTeam_Aston Villa,HomeTeam_Birmingham,HomeTeam_Blackburn,HomeTeam_Blackpool,HomeTeam_Bolton,HomeTeam_Bournemouth,HomeTeam_Brentford,HomeTeam_Brighton,HomeTeam_Burnley,HomeTeam_Cardiff,HomeTeam_Charlton,HomeTeam_Chelsea,HomeTeam_Crystal Palace,HomeTeam_Derby,HomeTeam_Everton,HomeTeam_Fulham,HomeTeam_Huddersfield,HomeTeam_Hull,HomeTeam_Leeds,HomeTeam_Leicester,HomeTeam_Liverpool,HomeTeam_Luton,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Middlesbrough,HomeTeam_Newcastle,HomeTeam_Norwich,HomeTeam_Nott'm Forest,HomeTeam_Portsmouth,HomeTeam_QPR,HomeTeam_Reading,HomeTeam_Sheffield United,HomeTeam_Southampton,HomeTeam_Stoke,HomeTeam_Sunderland,HomeTeam_Swansea,HomeTeam_Tottenham,HomeTeam_Watford,HomeTeam_West Brom,HomeTeam_West Ham,HomeTeam_Wigan,HomeTeam_Wolves,AwayTeam_Arsenal,AwayTeam_Aston Villa,AwayTeam_Birmingham,AwayTeam_Blackburn,AwayTeam_Blackpool,AwayTeam_Bolton,AwayTeam_Bournemouth,AwayTeam_Brentford,AwayTeam_Brighton,AwayTeam_Burnley,AwayTeam_Cardiff,AwayTeam_Charlton,AwayTeam_Chelsea,AwayTeam_Crystal Palace,AwayTeam_Derby,AwayTeam_Everton,AwayTeam_Fulham,AwayTeam_Huddersfield,AwayTeam_Hull,AwayTeam_Leeds,AwayTeam_Leicester,AwayTeam_Liverpool,AwayTeam_Luton,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Middlesbrough,AwayTeam_Newcastle,AwayTeam_Norwich,AwayTeam_Nott'm Forest,AwayTeam_Portsmouth,AwayTeam_QPR,AwayTeam_Reading,AwayTeam_Sheffield United,AwayTeam_Southampton,AwayTeam_Stoke,AwayTeam_Sunderland,AwayTeam_Swansea,AwayTeam_Tottenham,AwayTeam_Watford,AwayTeam_West Brom,AwayTeam_West Ham,AwayTeam_Wigan,AwayTeam_Wolves,has_ou_odds,HomeRecentGF,HomeRecentGA,HomeRecentPts,AwayRecentGF,AwayRecentGA,AwayRecentPts,B365>2.5_missing,B365<2.5_missing,h2h_home_wins_last5,home_league_position,away_league_position,position_diff,HomePts,AwayPts,HomeGoalDiff,AwayGoalDiff,HomeRecentGoalDiff,AwayRecentGoalDiff,RecentGoalDiff,HomeRecentShotsOnTarget,AwayRecentShotsOnTarget,RecentShotsOnTargetDiff,PosDiff,B365>2.5_implied_prob,B365<2.5_implied_prob,OddsMargin,OU_OddsMargin,OverUnderRatio,Weekend,RefereeAggression,EarlySeason
3.0,1.0,H,2.0,1.0,H,B Knight,7.0,14.0,6.0,8.0,7.0,6.0,12.0,11.0,1.0,0.0,1.0,0.0,1.8,3.1,3.8,1.72,3.2,4.33,1.727,3.25,4.333,1.9,1.91,2002-08-31,2002-03,2002,8,5,4.0,1,2.2455696202531645,1.080604534005038,Man City,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,8.0,1.5,1.0,5.0,1,1,0,15,9,6,3,0,2.0,-2.0,2.0,-2.0,3.0,28.0,22.0,6.0,6,0.5263157894736842,0.5235602094240838,0.3985691207015924,0.9947643979057592,0.9947643979057592,1,0.0,0
2.0,1.0,H,1.0,0.0,H,P Durkin,9.0,8.0,5.0,6.0,2.0,5.0,14.0,16.0,3.0,3.0,0.0,0.0,3.5,3.1,1.9,4.0,3.1,1.8,4.0,3.25,1.8,1.9,1.91,2002-08-31,2002-03,2002,8,5,3.0,1,1.2016129032258065,1.358695652173913,Birmingham,Leeds,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.5,8.0,3.0,0.5,5.0,1,1,0,10,15,-5,3,0,1.0,-1.0,2.0,-2.0,3.0,28.0,22.0,6.0,-5,0.5263157894736842,0.5235602094240838,2.2222222222222223,0.9947643979057592,0.9947643979057592,1,2.5,0
1.0,1.0,D,0.0,1.0,A,U Rennie,12.0,20.0,5.0,10.0,6.0,8.0,13.0,16.0,1.0,2.0,0.0,1.0,4.4,3.3,1.65,5.5,3.4,1.53,5.0,3.4,1.615,1.9,1.91,2002-08-31,2002-03,2002,8,5,2.0,0,1.0855855855855856,1.565326633165829,Sunderland,Man United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,8.0,1.0,0.0,5.0,1,1,0,6,18,-12,1,1,0.0,0.0,2.0,-2.0,3.0,28.0,22.0,6.0,-12,0.5263157894736842,0.5235602094240838,3.095975232198142,0.9947643979057592,0.9947643979057592,1,0.0,0
2.0,1.0,H,1.0,1.0,D,M Dean,18.0,15.0,8.0,8.0,12.0,6.0,16.0,13.0,3.0,1.0,0.0,1.0,1.65,3.3,4.4,1.57,3.3,5.5,1.667,3.4,4.5,1.9,1.91,2002-08-31,2002-03,2002,8,5,3.0,1,1.8421052631578947,1.0310077519379846,Tottenham,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5,1.0,8.0,0.0,1.5,5.0,1,1,0,6,11,-5,3,0,1.0,-1.0,2.0,-2.0,3.0,28.0,22.0,6.0,-5,0.5263157894736842,0.5235602094240838,0.3704444444444444,0.9947643979057592,0.9947643979057592,1,0.0,0
1.0,0.0,H,0.0,0.0,D,S Dunn,13.0,12.0,6.0,5.0,4.0,5.0,9.0,11.0,2.0,3.0,0.0,0.0,2.4,3.0,2.6,2.5,3.1,2.5,2.5,3.0,2.625,1.9,1.91,2002-09-01,2002-03,2002,9,6,1.0,0,1.3595505617977528,1.127906976744186,Bolton,Aston Villa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,8.0,0.0,1.0,5.0,1,1,0,19,7,12,3,0,1.0,-1.0,2.0,-2.0,3.0,28.0,22.0,6.0,12,0.5263157894736842,0.5235602094240838,0.9523809523809524,0.9947643979057592,0.9947643979057592,1,0.0,0
1.0,1.0,D,1.0,0.0,H,A D'Urso,8.0,8.0,2.0,5.0,6.0,2.0,20.0,16.0,5.0,2.0,0.0,1.0,2.7,3.0,2.3,2.87,3.0,2.25,3.0,3.0,2.25,1.9,1.91,2002-09-01,2002-03,2002,9,6,2.0,0,2.022556390977444,1.6215538847117794,Chelsea,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.0,8.0,2.0,1.0,5.0,1,1,0,11,4,7,1,1,0.0,0.0,2.0,-2.0,3.0,28.0,22.0,6.0,7,0.5263157894736842,0.5235602094240838,1.3333333333333333,0.9947643979057592,0.9947643979057592,1,0.0,0
2.0,2.0,D,0.0,0.0,D,G Poll,22.0,11.0,11.0,6.0,12.0,3.0,7.0,25.0,1.0,2.0,0.0,0.0,1.65,3.3,4.4,1.66,3.3,4.5,1.615,3.4,5.0,1.9,1.91,2002-09-02,2002-03,2002,9,0,4.0,1,2.077889447236181,1.0277777777777777,Liverpool,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,8.0,4.0,0.0,5.0,1,1,0,12,20,-8,1,1,0.0,0.0,2.0,-2.0,3.0,28.0,22.0,6.0,-8,0.5263157894736842,0.5235602094240838,0.323,0.9947643979057592,0.9947643979057592,0,0.0,0
2.0,1.0,H,2.0,1.0,H,C Wilkes,13.0,5.0,5.0,4.0,7.0,6.0,16.0,14.0,1.0,2.0,0.0,1.0,1.3,4.2,8.0,1.3,4.33,8.0,1.333,4.333,7.5,1.9,1.91,2002-09-10,2002-03,2002,9,1,3.0,1,2.1209068010075565,1.645,Arsenal,Man City,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.3333333333333333,3.0,0.3333333333333333,1.3333333333333333,0.0,1,1,0,2,5,-3,3,0,1.0,-1.0,3.0,-1.0,4.0,8.0,1.0,7.0,-3,0.5263157894736842,0.5235602094240838,0.1777333333333333,0.9947643979057592,0.9947643979057592,0,0.0,0
3.0,0.0,H,2.0,0.0,H,A Wiley,9.0,8.0,7.0,6.0,6.0,8.0,16.0,12.0,3.0,3.0,0.0,0.0,2.0,3.0,3.3,2.0,3.0,3.4,2.1,3.0,3.25,1.9,1.91,2002-09-10,2002-03,2002,9,1,3.0,1,1.3541666666666667,0.8642533936651584,Middlesbrough,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,3.0,0.3333333333333333,0.3333333333333333,3.0,1,1,0,6,4,2,3,0,3.0,-3.0,1.0,1.0,0.0,3.0,4.0,-1.0,2,0.5263157894736842,0.5235602094240838,0.6461538461538462,0.9947643979057592,0.9947643979057592,0,1.5,0
3.0,2.0,H,0.0,2.0,A,M Halsey,13.0,7.0,8.0,4.0,9.0,6.0,8.0,11.0,0.0,1.0,0.0,0.0,2.5,3.0,2.5,2.4,3.1,2.6,2.375,3.2,2.625,1.9,1.91,2002-09-11,2002-03,2002,9,2,5.0,1,1.3661971830985915,1.449748743718593,Fulham,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,1.5,8.0,1.3333333333333333,0.6666666666666666,3.0,1,1,0,18,3,15,3,0,1.0,-1.0,2.0,1.0,3.0,28.0,1.0,6.0,15,0.5263157894736842,0.5235602094240838,0.9047619047619048,0.9947643979057592,0.9947643979057592,0,2.6666666666666665,0
